                Time,             Y-Force,      Work integrand,                Mass,           Mass error
    0.0000000000E+00,    1.3322676296E-15,    0.0000000000E+00,    7.8540027826E-01,                  NaN
    1.9531250000E-03,   -5.9353354777E-05,   -5.9156224244E-10,    7.8540027826E-01,                  NaN
    3.9062500000E-03,   -2.2035685752E-04,   -8.2263910598E-09,    7.8540027826E-01,                  NaN
    5.8593750000E-03,   -4.8132270543E-04,   -3.8251136880E-08,    7.8540027826E-01,                  NaN
    7.8125000000E-03,   -8.4361444637E-04,   -1.1501462792E-07,    7.8540027826E-01,                  NaN
    9.7656250000E-03,   -1.3062508828E-03,   -2.7070834493E-07,    7.8540027826E-01,                  NaN
    1.1718750000E-02,   -1.8693058233E-03,   -5.4557847740E-07,    7.8540027826E-01,                  NaN
    1.3671875000E-02,   -2.5330110874E-03,   -9.8779794401E-07,    7.8540027826E-01,                  NaN
    1.5625000000E-02,   -3.2976608658E-03,   -1.6533664275E-06,    7.8540027826E-01,                  NaN
    1.7578125000E-02,   -4.1635956785E-03,   -2.6060638005E-06,    7.8540027826E-01,                  NaN
    1.9531250000E-02,   -5.1311808512E-03,   -3.9174078634E-06,    7.8540027826E-01,                  NaN
    2.1484375000E-02,   -6.2007995814E-03,   -5.6666206251E-06,    7.8540027826E-01,                  NaN
    2.3437500000E-02,   -7.3728484712E-03,   -7.9406006094E-06,    7.8540027826E-01,                  NaN
    2.5390625000E-02,   -8.6477268350E-03,   -1.0833891315E-05,    7.8540027826E-01,                  NaN
    2.7343750000E-02,   -1.0025832814E-02,   -1.4448652140E-05,    7.8540027826E-01,                  NaN
    2.9296875000E-02,   -1.1507564984E-02,   -1.8894635294E-05,    7.8540027826E-01,                  NaN
    3.1250000000E-02,   -1.3093318379E-02,   -2.4289156938E-05,    7.8540027826E-01,                  NaN
    3.3203125000E-02,   -1.4783477931E-02,   -3.0757059738E-05,    7.8540027826E-01,                  NaN
    3.5156250000E-02,   -1.6578417907E-02,   -3.8430678895E-05,    7.8540027826E-01,                  NaN
    3.7109375000E-02,   -1.8478504370E-02,   -4.7449812966E-05,    7.8540027826E-01,                  NaN
    3.9062500000E-02,   -2.0484092791E-02,   -5.7961684651E-05,    7.8540027826E-01,                  NaN
    4.1015625000E-02,   -2.2595522151E-02,   -7.0120886789E-05,    7.8540027826E-01,                  NaN
    4.2968750000E-02,   -2.4813112855E-02,   -8.4089328401E-05,    7.8540027826E-01,                  NaN
    4.4921875000E-02,   -2.7137169438E-02,   -1.0003619004E-04,    7.8540027826E-01,                  NaN
    4.6875000000E-02,   -2.9567981695E-02,   -1.1813787492E-04,    7.8540027826E-01,                  NaN
    4.8828125000E-02,   -3.2105820604E-02,   -1.3857793882E-04,    7.8540027826E-01,                  NaN
    5.0781250000E-02,   -3.4750933002E-02,   -1.6154700404E-04,    7.8540027826E-01,                  NaN
    5.2734375000E-02,   -3.7503540306E-02,   -1.8724267765E-04,    7.8540027826E-01,                  NaN
    5.4687500000E-02,   -4.0363841022E-02,   -2.1586948134E-04,    7.8540027826E-01,                  NaN
    5.6640625000E-02,   -4.3332012664E-02,   -2.4763877904E-04,    7.8540027826E-01,                  NaN
    5.8593750000E-02,   -4.6408210529E-02,   -2.8276868705E-04,    7.8540027826E-01,                  NaN
    6.0546875000E-02,   -4.9592564274E-02,   -3.2148396424E-04,    7.8540027826E-01,                  NaN
    6.2500000000E-02,   -5.2885173368E-02,   -3.6401588309E-04,    7.8540027826E-01,                  NaN
    6.4453125000E-02,   -5.6286100937E-02,   -4.1060207450E-04,    7.8540027826E-01,                  NaN
    6.6406250000E-02,   -5.9795367413E-02,   -4.6148635037E-04,    7.8540027826E-01,                  NaN
    6.8359375000E-02,   -6.3412949920E-02,   -5.1691854711E-04,    7.8540027826E-01,                  NaN
    7.0312500000E-02,   -6.7138793017E-02,   -5.7715445153E-04,    7.8540027826E-01,                  NaN
    7.2265625000E-02,   -7.0972826266E-02,   -6.4245580786E-04,    7.8540027826E-01,                  NaN
