                Time,             Y-Force,      Work integrand,                Mass,           Mass error
    0.0000000000E+00,   -2.3717561248E-10,    0.0000000000E+00,    7.8539829891E-01,                  NaN
    9.7656250000E-04,   -1.6042247958E-05,   -4.9862078115E-11,    7.8539829891E-01,                  NaN
    1.9531250000E-03,   -5.8355466249E-05,   -6.3274817299E-10,    7.8539829891E-01,                  NaN
    2.9296875000E-03,   -1.2598573901E-04,   -2.8446497668E-09,    7.8539829891E-01,                  NaN
    3.9062500000E-03,   -2.1923463668E-04,   -8.3873184675E-09,    7.8539829891E-01,                  NaN
    4.8828125000E-03,   -3.3769444441E-04,   -1.9483127238E-08,    7.8539829891E-01,                  NaN
    5.8593750000E-03,   -4.8127599380E-04,   -3.8885431800E-08,    7.8539829891E-01,                  NaN
    6.8359375000E-03,   -6.4993808445E-04,   -6.9864798308E-08,    7.8539829891E-01,                  NaN
    7.8125000000E-03,   -8.4366499455E-04,   -1.1620164448E-07,    7.8539829891E-01,                  NaN
    8.7890625000E-03,   -1.0624575163E-03,   -1.8218071059E-07,    7.8539829891E-01,                  NaN
    9.7656250000E-03,   -1.3063280133E-03,   -2.7258676671E-07,    7.8539829891E-01,                  NaN
    1.0742187500E-02,   -1.5752973620E-03,   -3.9270121183E-07,    7.8539829891E-01,                  NaN
    1.1718750000E-02,   -1.8693928998E-03,   -5.4829927638E-07,    7.8539829891E-01,                  NaN
    1.2695312500E-02,   -2.1886469658E-03,   -7.4564767391E-07,    7.8539829891E-01,                  NaN
    1.3671875000E-02,   -2.5330958250E-03,   -9.9150260011E-07,    7.8539829891E-01,                  NaN
    1.4648437500E-02,   -2.9027788578E-03,   -1.2931080026E-06,    7.8539829891E-01,                  NaN
    1.5625000000E-02,   -3.2977379282E-03,   -1.6581940613E-06,    7.8539829891E-01,                  NaN
    1.6601562500E-02,   -3.7180168760E-03,   -2.0949758302E-06,    7.8539829891E-01,                  NaN
    1.7578125000E-02,   -4.1636611259E-03,   -2.6121520162E-06,    7.8539829891E-01,                  NaN
    1.8554687500E-02,   -4.6347174215E-03,   -3.2189038893E-06,    7.8539829891E-01,                  NaN
    1.9531250000E-02,   -5.1312336552E-03,   -3.9248943159E-06,    7.8539829891E-01,                  NaN
    2.0507812500E-02,   -5.6532586931E-03,   -4.7402668580E-06,    7.8539829891E-01,                  NaN
    2.1484375000E-02,   -6.2008420509E-03,   -5.6756448181E-06,    7.8539829891E-01,                  NaN
    2.2460937500E-02,   -6.7740334094E-03,   -6.7421301330E-06,    7.8539829891E-01,                  NaN
    2.3437500000E-02,   -7.3728822217E-03,   -7.9513022247E-06,    7.8539829891E-01,                  NaN
    2.4414062500E-02,   -7.9974377694E-03,   -9.3152171328E-06,    7.8539829891E-01,                  NaN
    2.5390625000E-02,   -8.6477496849E-03,   -1.0846407141E-05,    7.8539829891E-01,                  NaN
    2.6367187500E-02,   -9.3238684008E-03,   -1.2557880572E-05,    7.8539829891E-01,                  NaN
    2.7343750000E-02,   -1.0025844866E-02,   -1.4463121008E-05,    7.8539829891E-01,                  NaN
    2.8320312500E-02,   -1.0753729522E-02,   -1.6576085543E-05,    7.8539829891E-01,                  NaN
    2.9296875000E-02,   -1.1507571405E-02,   -1.8911202732E-05,    7.8539829891E-01,                  NaN
    3.0273437500E-02,   -1.2287418253E-02,   -2.1483371454E-05,    7.8539829891E-01,                  NaN
    3.1250000000E-02,   -1.3093317562E-02,   -2.4307961152E-05,    7.8539829891E-01,                  NaN
    3.2226562500E-02,   -1.3925317470E-02,   -2.7400812321E-05,    7.8539829891E-01,                  NaN
    3.3203125000E-02,   -1.4783466529E-02,   -3.0778235636E-05,    7.8539829891E-01,                  NaN
    3.4179687500E-02,   -1.5667812536E-02,   -3.4457009368E-05,    7.8539829891E-01,                  NaN
    3.5156250000E-02,   -1.6578401550E-02,   -3.8454376473E-05,    7.8539829891E-01,                  NaN
