                Time,             Y-Force,      Work integrand,                Mass,           Mass error
    0.0000000000E+00,   -1.9835061919E-03,    0.0000000000E+00,    7.8540029131E-01,                  NaN
    3.9062500000E-03,    3.9083146782E-04,    1.2333120373E-09,    7.8540029131E-01,                  NaN
    7.8125000000E-03,   -9.5400254620E-04,   -1.3833535073E-07,    7.8540029131E-01,                  NaN
    1.1718750000E-02,   -1.8652838357E-03,   -5.9191629968E-07,    7.8540029131E-01,                  NaN
    1.5625000000E-02,   -3.1973500247E-03,   -1.7241407552E-06,    7.8540029131E-01,                  NaN
    1.9531250000E-02,   -4.8482889614E-03,   -3.9635422722E-06,    7.8540029131E-01,                  NaN
    2.3437500000E-02,   -6.5788913164E-03,   -7.7219459789E-06,    7.8540029131E-01,                  NaN
    2.7343750000E-02,   -8.6951731077E-03,   -1.3799401561E-05,    7.8540029131E-01,                  NaN
    3.1250000000E-02,   -1.1745597656E-02,   -2.3570493843E-05,    7.8540029131E-01,                  NaN
    3.5156250000E-02,   -1.5846824409E-02,   -3.8442966649E-05,    7.8540029131E-01,                  NaN
    3.9062500000E-02,   -2.0511093261E-02,   -5.9204526156E-05,    7.8540029131E-01,                  NaN
    4.2968750000E-02,   -2.5241391361E-02,   -8.6336478582E-05,    7.8540029131E-01,                  NaN
    4.6875000000E-02,   -3.0026464340E-02,   -1.2089616158E-04,    7.8540029131E-01,                  NaN
    5.0781250000E-02,   -3.5164140981E-02,   -1.6470766031E-04,    7.8540029131E-01,                  NaN
    5.4687500000E-02,   -4.0842021469E-02,   -2.1974910108E-04,    7.8540029131E-01,                  NaN
    5.8593750000E-02,   -4.7021865044E-02,   -2.8767960298E-04,    7.8540029131E-01,                  NaN
    6.2500000000E-02,   -5.3599873880E-02,   -3.6998478541E-04,    7.8540029131E-01,                  NaN
    6.6406250000E-02,   -6.0539543547E-02,   -4.6834140298E-04,    7.8540029131E-01,                  NaN
    7.0312500000E-02,   -6.7865169435E-02,   -5.8473541209E-04,    7.8540029131E-01,                  NaN
    7.4218750000E-02,   -7.5606539951E-02,   -7.2134430713E-04,    7.8540029131E-01,                  NaN
    7.8125000000E-02,   -8.3776852259E-02,   -8.8042413327E-04,    7.8540029131E-01,                  NaN
    8.2031250000E-02,   -9.2380457871E-02,   -1.0642943466E-03,    7.8540029131E-01,                  NaN
    8.5937500000E-02,   -1.0142047429E-01,   -1.2753517457E-03,    7.8540029131E-01,                  NaN
    8.9843750000E-02,   -1.1089783368E-01,   -1.5160537370E-03,    7.8540029131E-01,                  NaN
    9.3750000000E-02,   -1.2080869447E-01,   -1.7888811783E-03,    7.8540029131E-01,                  NaN
    9.7656250000E-02,   -1.3114429936E-01,   -2.0963057024E-03,    7.8540029131E-01,                  NaN
    1.0156250000E-01,   -1.4189179702E-01,   -2.4407622968E-03,    7.8540029131E-01,                  NaN
    1.0546875000E-01,   -1.5303450559E-01,   -2.8246209568E-03,    7.8540029131E-01,                  NaN
    1.0937500000E-01,   -1.6455234793E-01,   -3.2501676994E-03,    7.8540029131E-01,                  NaN
    1.1328125000E-01,   -1.7642369704E-01,   -3.7196165608E-03,    7.8540029131E-01,                  NaN
    1.1718750000E-01,   -1.8862851092E-01,   -4.2351629890E-03,    7.8540029131E-01,                  NaN
    1.2109375000E-01,   -2.0115129667E-01,   -4.7990643142E-03,    7.8540029131E-01,                  NaN
    1.2500000000E-01,   -2.1398248954E-01,   -5.4137169201E-03,    7.8540029131E-01,                  NaN
    1.2890625000E-01,   -2.2711806948E-01,   -6.0817051912E-03,    7.8540029131E-01,                  NaN
    1.3281250000E-01,   -2.4055827850E-01,   -6.8058138970E-03,    7.8540029131E-01,                  NaN
    1.3671875000E-01,   -2.5430604190E-01,   -7.5890008923E-03,    7.8540029131E-01,                  NaN
    1.4062500000E-01,   -2.6836457474E-01,   -8.4343146200E-03,    7.8540029131E-01,                  NaN
    1.4453125000E-01,   -2.8273317675E-01,   -9.3447320361E-03,    7.8540029131E-01,                  NaN
    1.4843750000E-01,   -2.9740117905E-01,   -1.0322911410E-02,    7.8540029131E-01,                  NaN
    1.5234375000E-01,   -3.1234159106E-01,   -1.1370897001E-02,    7.8540029131E-01,                  NaN
    1.5625000000E-01,   -3.2750674908E-01,   -1.2489847815E-02,    7.8540029131E-01,                  NaN
    1.6015625000E-01,   -3.4282759040E-01,   -1.3679862884E-02,    7.8540029131E-01,                  NaN
    1.6406250000E-01,   -3.5821666855E-01,   -1.4939939674E-02,    7.8540029131E-01,                  NaN
    1.6796875000E-01,   -3.7357367729E-01,   -1.6268051178E-02,    7.8540029131E-01,                  NaN
    1.7187500000E-01,   -3.8879167418E-01,   -1.7661287180E-02,    7.8540029131E-01,                  NaN
    1.7578125000E-01,   -4.0376250269E-01,   -1.9115995868E-02,    7.8540029131E-01,                  NaN
    1.7968750000E-01,   -4.1838087506E-01,   -2.0627891137E-02,    7.8540029131E-01,                  NaN
    1.8359375000E-01,   -4.3254768604E-01,   -2.2192145447E-02,    7.8540029131E-01,                  NaN
    1.8750000000E-01,   -4.4617370210E-01,   -2.3803534069E-02,    7.8540029131E-01,                  NaN
    1.9140625000E-01,   -4.5918436697E-01,   -2.5456697164E-02,    7.8540029131E-01,                  NaN
    1.9531250000E-01,   -4.7152527510E-01,   -2.7146530613E-02,    7.8540029131E-01,                  NaN
    1.9921875000E-01,   -4.8316667679E-01,   -2.8868633495E-02,    7.8540029131E-01,                  NaN
    2.0312500000E-01,   -4.9410502699E-01,   -3.0619680577E-02,    7.8540029131E-01,                  NaN
    2.0703125000E-01,   -5.0436036350E-01,   -3.2397590652E-02,    7.8540029131E-01,                  NaN
    2.1093750000E-01,   -5.1396977578E-01,   -3.4201426879E-02,    7.8540029131E-01,                  NaN
    2.1484375000E-01,   -5.2297860811E-01,   -3.6031058941E-02,    7.8540029131E-01,                  NaN
    2.1875000000E-01,   -5.3143167429E-01,   -3.7886692751E-02,    7.8540029131E-01,                  NaN
    2.2265625000E-01,   -5.3936646775E-01,   -3.9768400584E-02,    7.8540029131E-01,                  NaN
    2.2656250000E-01,   -5.4680941690E-01,   -4.1675759975E-02,    7.8540029131E-01,                  NaN
    2.3046875000E-01,   -5.5377516688E-01,   -4.3607654161E-02,    7.8540029131E-01,                  NaN
    2.3437500000E-01,   -5.6026810017E-01,   -4.5562229226E-02,    7.8540029131E-01,                  NaN
    2.3828125000E-01,   -5.6628502542E-01,   -4.7536965236E-02,    7.8540029131E-01,                  NaN
    2.4218750000E-01,   -5.7181810505E-01,   -4.9528807846E-02,    7.8540029131E-01,                  NaN
    2.4609375000E-01,   -5.7685745165E-01,   -5.1534317110E-02,    7.8540029131E-01,                  NaN
    2.5000000000E-01,   -5.8139319203E-01,   -5.3549809526E-02,    7.8540029131E-01,                  NaN
    2.5390625000E-01,   -5.8541704456E-01,   -5.5571486803E-02,    7.8540029131E-01,                  NaN
    2.5781250000E-01,   -5.8892354375E-01,   -5.7595554181E-02,    7.8540029131E-01,                  NaN
    2.6171875000E-01,   -5.9191100865E-01,   -5.9618331674E-02,    7.8540029131E-01,                  NaN
    2.6562500000E-01,   -5.9438225246E-01,   -6.1636355892E-02,    7.8540029131E-01,                  NaN
    2.6953125000E-01,   -5.9634493841E-01,   -6.3646462903E-02,    7.8540029131E-01,                  NaN
    2.7343750000E-01,   -5.9781145524E-01,   -6.5645838396E-02,    7.8540029131E-01,                  NaN
    2.7734375000E-01,   -5.9879823736E-01,   -6.7632023444E-02,    7.8540029131E-01,                  NaN
    2.8125000000E-01,   -5.9932457645E-01,   -6.9602872724E-02,    7.8540029131E-01,                  NaN
    2.8515625000E-01,   -5.9941111810E-01,   -7.1556474700E-02,    7.8540029131E-01,                  NaN
    2.8906250000E-01,   -5.9907835324E-01,   -7.3491055594E-02,    7.8540029131E-01,                  NaN
    2.9296875000E-01,   -5.9834545545E-01,   -7.5404896963E-02,    7.8540029131E-01,                  NaN
    2.9687500000E-01,   -5.9722976769E-01,   -7.7296297860E-02,    7.8540029131E-01,                  NaN
    3.0078125000E-01,   -5.9574712231E-01,   -7.9163607220E-02,    7.8540029131E-01,                  NaN
    3.0468750000E-01,   -5.9391302121E-01,   -8.1005342052E-02,    7.8540029131E-01,                  NaN
    3.0859375000E-01,   -5.9174454952E-01,   -8.2820394894E-02,    7.8540029131E-01,                  NaN
    3.1250000000E-01,   -5.8926277423E-01,   -8.4608321378E-02,    7.8540029131E-01,                  NaN
    3.1640625000E-01,   -5.8649530269E-01,   -8.6369686788E-02,    7.8540029131E-01,                  NaN
    3.2031250000E-01,   -5.8347864559E-01,   -8.8106439271E-02,    7.8540029131E-01,                  NaN
    3.2421875000E-01,   -5.8026003924E-01,   -8.9822267813E-02,    7.8540029131E-01,                  NaN
    3.2812500000E-01,   -5.7689842761E-01,   -9.1522896646E-02,    7.8540029131E-01,                  NaN
    3.3203125000E-01,   -5.7346438227E-01,   -9.3216266613E-02,    7.8540029131E-01,                  NaN
    3.3593750000E-01,   -5.7003884402E-01,   -9.4912560165E-02,    7.8540029131E-01,                  NaN
    3.3984375000E-01,   -5.6671069617E-01,   -9.6624040507E-02,    7.8540029131E-01,                  NaN
    3.4375000000E-01,   -5.6357331202E-01,   -9.8364695719E-02,    7.8540029131E-01,                  NaN
    3.4765625000E-01,   -5.6072034162E-01,   -1.0014970236E-01,    7.8540029131E-01,                  NaN
    3.5156250000E-01,   -5.5824109849E-01,   -1.0199474646E-01,    7.8540029131E-01,                  NaN
    3.5546875000E-01,   -5.5621596451E-01,   -1.0391525947E-01,    7.8540029131E-01,                  NaN
    3.5937500000E-01,   -5.5471224744E-01,   -1.0592564064E-01,    7.8540029131E-01,                  NaN
    3.6328125000E-01,   -5.5378089985E-01,   -1.0803854361E-01,    7.8540029131E-01,                  NaN
    3.6718750000E-01,   -5.5345444437E-01,   -1.1026430394E-01,    7.8540029131E-01,                  NaN
    3.7109375000E-01,   -5.5374634782E-01,   -1.1261057406E-01,    7.8540029131E-01,                  NaN
    3.7500000000E-01,   -5.5465194889E-01,   -1.1508221345E-01,    7.8540029131E-01,                  NaN
    3.7890625000E-01,   -5.5615087720E-01,   -1.1768145406E-01,    7.8540029131E-01,                  NaN
    3.8281250000E-01,   -5.5821072151E-01,   -1.2040832743E-01,    7.8540029131E-01,                  NaN
    3.8671875000E-01,   -5.6079153906E-01,   -1.2326130392E-01,    7.8540029131E-01,                  NaN
    3.9062500000E-01,   -5.6385067834E-01,   -1.2623806349E-01,    7.8540029131E-01,                  NaN
    3.9453125000E-01,   -5.6734734341E-01,   -1.2933629714E-01,    7.8540029131E-01,                  NaN
    3.9843750000E-01,   -5.7124637383E-01,   -1.3255443392E-01,    7.8540029131E-01,                  NaN
    4.0234375000E-01,   -5.7552084585E-01,   -1.3589220188E-01,    7.8540029131E-01,                  NaN
    4.0625000000E-01,   -5.8015329103E-01,   -1.3935095905E-01,    7.8540029131E-01,                  NaN
    4.1015625000E-01,   -5.8513553895E-01,   -1.4293376804E-01,    7.8540029131E-01,                  NaN
    4.1406250000E-01,   -5.9046738017E-01,   -1.4664522566E-01,    7.8540029131E-01,                  NaN
    4.1796875000E-01,   -5.9615438081E-01,   -1.5049109174E-01,    7.8540029131E-01,                  NaN
    4.2187500000E-01,   -6.0220524469E-01,   -1.5447778276E-01,    7.8540029131E-01,                  NaN
    4.2578125000E-01,   -6.0862911390E-01,   -1.5861180508E-01,    7.8540029131E-01,                  NaN
    4.2968750000E-01,   -6.1543313919E-01,   -1.6289919999E-01,    7.8540029131E-01,                  NaN
    4.3359375000E-01,   -6.2262055914E-01,   -1.6734506172E-01,    7.8540029131E-01,                  NaN
    4.3750000000E-01,   -6.3018942316E-01,   -1.7195317256E-01,    7.8540029131E-01,                  NaN
    4.4140625000E-01,   -6.3813199351E-01,   -1.7672578057E-01,    7.8540029131E-01,                  NaN
    4.4531250000E-01,   -6.4643477591E-01,   -1.8166352520E-01,    7.8540029131E-01,                  NaN
    4.4921875000E-01,   -6.5507905981E-01,   -1.8676549794E-01,    7.8540029131E-01,                  NaN
    4.5312500000E-01,   -6.6404180075E-01,   -1.9202940782E-01,    7.8540029131E-01,                  NaN
    4.5703125000E-01,   -6.7329664812E-01,   -1.9745180818E-01,    7.8540029131E-01,                  NaN
    4.6093750000E-01,   -6.8281491507E-01,   -2.0302833223E-01,    7.8540029131E-01,                  NaN
    4.6484375000E-01,   -6.9256630464E-01,   -2.0875388272E-01,    7.8540029131E-01,                  NaN
    4.6875000000E-01,   -7.0251924912E-01,   -2.1462272685E-01,    7.8540029131E-01,                  NaN
    4.7265625000E-01,   -7.1264078323E-01,   -2.2062846155E-01,    7.8540029131E-01,                  NaN
    4.7656250000E-01,   -7.2289595061E-01,   -2.2676383457E-01,    7.8540029131E-01,                  NaN
    4.8046875000E-01,   -7.3324682475E-01,   -2.3302043170E-01,    7.8540029131E-01,                  NaN
    4.8437500000E-01,   -7.4365129865E-01,   -2.3938826493E-01,    7.8540029131E-01,                  NaN
    4.8828125000E-01,   -7.5406185042E-01,   -2.4585531728E-01,    7.8540029131E-01,                  NaN
    4.9218750000E-01,   -7.6442451779E-01,   -2.5240711396E-01,    7.8540029131E-01,                  NaN
    4.9609375000E-01,   -7.7467830953E-01,   -2.5902639472E-01,    7.8540029131E-01,                  NaN
    5.0000000000E-01,   -7.8475524657E-01,   -2.6569295714E-01,    7.8540029131E-01,                  NaN
    5.0390625000E-01,   -7.9458116385E-01,   -2.7238372734E-01,    7.8540029131E-01,                  NaN
    5.0781250000E-01,   -8.0407732326E-01,   -2.7907309252E-01,    7.8540029131E-01,                  NaN
    5.1171875000E-01,   -8.1316279503E-01,   -2.8573350323E-01,    7.8540029131E-01,                  NaN
    5.1562500000E-01,   -8.2175747051E-01,   -2.9233632327E-01,    7.8540029131E-01,                  NaN
    5.1953125000E-01,   -8.2978548237E-01,   -2.9885287525E-01,    7.8540029131E-01,                  NaN
    5.2343750000E-01,   -8.3717873997E-01,   -3.0525560334E-01,    7.8540029131E-01,                  NaN
    5.2734375000E-01,   -8.4388024752E-01,   -3.1151925452E-01,    7.8540029131E-01,                  NaN
    5.3125000000E-01,   -8.4984686811E-01,   -3.1762196890E-01,    7.8540029131E-01,                  NaN
    5.3515625000E-01,   -8.5505123226E-01,   -3.2354617066E-01,    7.8540029131E-01,                  NaN
    5.3906250000E-01,   -8.5948256383E-01,   -3.2927916517E-01,    7.8540029131E-01,                  NaN
    5.4296875000E-01,   -8.6314630262E-01,   -3.3481337368E-01,    7.8540029131E-01,                  NaN
    5.4687500000E-01,   -8.6606252914E-01,   -3.4014617342E-01,    7.8540029131E-01,                  NaN
    5.5078125000E-01,   -8.6826332862E-01,   -3.4527935259E-01,    7.8540029131E-01,                  NaN
    5.5468750000E-01,   -8.6978934909E-01,   -3.5021823267E-01,    7.8540029131E-01,                  NaN
